jobTitle,jobSkills,employer,city,state,geoCode
Java Developer,IBM WebSphere|Embedded systems|Sales|Computer-aided software engineering|J2EE|Git|Java|Use cases|QA|Revision control|UML,Scientists and Quants Inc,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,Agile|jQuery|Web development|JavaScript|Web browsers|HTML,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
C++ Developer,Networking|Security|Bash|Programming|Linux administration|Network|Java,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Java Developer,Middleware|Security|HTTP|OOP|Software engineering|SOAP,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Database design|Adobe|Multimedia|NoSQL|CSS|Modeling|Conceptual design|Video|Adobe Flash|Animation|.NET|Visual Basic|Mobile development|Programming|2D computer graphics,Large Search Giant Llc.,Austin,TX,"30.267153,-97.7430608"
Java Web Developer,Java|Business requirements|Linux administration|Unix|Specification|SOAP|Security|Research|Microsoft Windows,Data Science Consultants,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,Business requirements|Agile|Microsoft PowerPoint|Java|Database design|Microsoft Excel|Programming|XSLT|Web development|HTML|ASP.NET|C#|.NET|SQL,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Ruby on Rails Developer,CSS|HTTP|Software engineering|SQL|Apache Subversion|Database design|Scrum,SocialMedia.com,San Francisco,CA,"37.7749295,-122.4194155"
SharePoint Developer,Database|Programming|SQL|Security,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
Salesforce Developer,QA|Business intelligence|CSS|ASP|MySQL|webMethods|Java|Informatica|Microsoft SQL Server|MySQL|SQL|jQuery|JavaScript|Database,Python code ninjas,Austin,TX,"30.267153,-97.7430608"
Application Developer,Perl|Scripting|Research|Unix|Architecture|Oracle|Supervision|MySQL|Software engineering|QA|SQL,Roll the Dice Inc.,New York,NY,"40.7127837,-74.0059413"
Application Developer,MySQL|Java|Consulting|SQL|PHP|CSS|MySQL,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Mobile Developer,UI|Programming|VMware|VPN|Agile|Mobile development|Encryption|Android,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,SOAP|HTML|OOP|Middleware|Software engineering|Agile,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
as 400 Developer,Research|IBM RPG|SDLC|Synon|HTTP,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
Financial Services,Database design|Scripting|XML|Hardware management|SQL|QA|ASP.NET|PL/SQL,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
Mainframe Developer,Rexx|Scheduling|Consulting|QA|VSAM|Programming|IBM DB2|HTML,Acme Inc,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Java|IBM Rational|Security|Jenkins|J2EE|Enterprise JavaBeans|Hudson,SocialMedia.com,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,Database design|UI|Data analysis|QA|AngularJS|Software engineering|Architecture|Jenkins|Mobile development|Hudson|QA|Git|iOS|NoSQL|SQL|Objective-C|Scrum,SocialMedia.com,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,IBM|HTML|Sales,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Cognos Developer,Modeling|IBM Cognos|Data warehouse|Teradata|.NET|Business requirements|Business intelligence|PowerPlay|Database|SQL,Simon Hughes Llc,San Jose,CA,"37.3382082,-121.8863286"
Lead Developer,Git|Software engineering|Apache Hadoop|Research|Java|Programming|Unix,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
Web Developer,HTTP|JavaScript|CSS|Security|Web development,Simon Hughes Llc,Chicago,IL,"41.8781136,-87.6297982"
Business Manager,Microsoft Windows|Programming|Oracle|XML|QA,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,Microsoft SQL Server|HTTP|QA|.NET,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,Web server|Web development|jQuery,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Angular JS Developer,QA|MySQL|JavaScript|Lifecycle management|QA|Java|MySQL|Project management|Architecture|Git,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
Oracle Developer,Oracle|Lifecycle management|HTTP,Simon Hughes Llc,Chicago,IL,"41.8781136,-87.6297982"
Ruby on Rails Developer,SQL|HTML|JavaScript|HTTP|Git|Software engineering|Ruby,Python code ninjas,Chicago,IL,"41.8781136,-87.6297982"
Full Stack Web Developer,PHP|Python|Web development|Jenkins|Apache HTTP Server|Linux|Java|Algorithms|HTML,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
Embedded Engineer,QA|HTTP|Embedded systems|Agile|Scrum,Roll the Dice Inc.,New York,NY,"40.7127837,-74.0059413"
Embedded Engineer,Embedded systems|Agile|C++|QA|Configuration,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,jQuery|Software engineering|SOAP|IBM WebSphere|Ajax|CSS|Apache Subversion|J2EE|Java,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Integration Developer,SQL|CRM|EDI|Business-to-business|ERP,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,QA|SOAP|Software engineering|XML|Revision control|SVN|J2EE,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,Research|SQL|Database design|HTTP|C#,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Java Developer,Oracle|Research|Microsoft Windows|Security|Unix|J2EE,Big Data Services,San Jose,CA,"37.3382082,-121.8863286"
Embedded Engineer,Ethernet|Python|QA|Hardware|HTTP,Simon Hughes Llc,San Jose,CA,"37.3382082,-121.8863286"
Embedded Engineer,Security|Scrum|Compiler|Network protocols|Linux administration|Agile|Unix|QA|Ethernet|Research,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
.Net Developer,Microsoft SQL Server|SQL|Agile|HTTP,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Lead Developer,Software engineering|Apache Hadoop|Linux|Microsoft Windows|Java|QA|IDE|C++,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
C++ Developer,Programming|Graphics|Linux administration|C++|Wireless|Test plans|QA|Technical writing|Microsoft Exchange,Simon Hughes Llc,Des Moines,IA,"41.6005448,-93.6091064"
PLSQL Developer,HTTP|Unix|Database design|Research|SQL|QA,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Embedded Engineer,C#|SQL|HTTP|Research|QA|Agile|Hardware|Compiler,Data Science Consultants,Austin,TX,"30.267153,-97.7430608"
Embedded Engineer,Firmware|Python|Configuration|Git|Embedded systems|Embedded software|Security,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
Big Data Developer,Apache Hadoop|Apache Solr|Java|Software engineering|MySQL|Linux,Acme Inc,San Jose,CA,"37.3382082,-121.8863286"
.Net Developer,API|SQL|Supervision|.NET|ASP.NET,Large Search Giant Llc.,Austin,TX,"30.267153,-97.7430608"
Hadoop Developer,HTTP|SQL|Oracle|Risk management|Python|Database|Linux administration|Informatica|Data warehouse|IBM DB2|Security,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
Frontend Developer,HTTP|QA|Oracle|PHP|Research|ColdFusion|ERP|Architecture|Database design,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,C#|Microsoft SQL Server|.NET|QA|Security|ASP.NET|Database design,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Application Developer,Wireless|Sales|Cost accounting|QA|Supply chain management|Telecommunications|Security,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
Application Developer,Agile|Content management|Consulting|PHP|JavaScript|Change management|Security|Java,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Web Developer,JavaScript|Web development|jQuery|API|Consulting|Graphics,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
Mainframe Developer,JCL|IBM DB2|Consulting|VSAM|Scheduling|Recruitment|TSO,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
ASP.NET Developer,Agile|ASP|Research|ASP.NET,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Embedded Engineer,Software engineering|Software development|HTTP|Python|Embedded software|Agile|Aerospace,Data Science Consultants,Des Moines,IA,"41.6005448,-93.6091064"
Embedded Engineer,Firmware|Hardware|Embedded software|Git|Python|Linux administration|Configuration,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
Big Data Developer,Ruby|Analytical skill|Perl|Informatica|SQL|Research|C++,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
Oracle PL SQL Developer,Computer-aided software engineering|DBA|Configuration|PL/SQL|SDLC,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Big Data Developer,Software engineering|Python|Git|Java|Research|Algorithms|MongoDB|NoSQL,Simon Hughes Llc,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,SQL|C#|Research|HTTP|Agile,IT Services and Networking Corp.,Des Moines,IA,"41.6005448,-93.6091064"
Mobile Developer,Java|OOP|Android,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,SDLC|JavaScript|HTML|J2EE|SOAP,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
SAS Developer,Apache Hadoop|Process engineering|OOP|Data analysis|Apache HTTP Server|Programming|Database|Verification and validation|SAS/SQL,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
C# Developer,Unix|Programming|OOP|Microsoft Windows|LAN|Accounting|Database design,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
C++ Developer,Architecture|Embedded software|Software engineering,Acme Inc,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Software engineering|Web server|J2EE|Java|JavaScript,Big Tech Company,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,SQL|Microsoft SQL Server|ASP|Programming|jQuery,Big Tech Company,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,.NET|jQuery|SQL|Ajax|QA,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
ETL Developer,Scripting|CSS|Security|Data warehouse|SQL|Oracle,Big Tech Company,San Jose,CA,"37.3382082,-121.8863286"
Oracle Developer,Microsoft Excel|Business requirements|HTTP|QA|SQL,IT Services and Networking Corp.,Austin,TX,"30.267153,-97.7430608"
Embedded Engineer,Programming|Simulation|OOP|HTTP|Software engineering|Agile|Embedded systems|Aerospace|SVN,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,Unix|HTTP|JDeveloper|SQL|Shell scripting|Linux administration|Help desk,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Salesforce Developer,Consulting|Modeling|HTTP|Informatica administration|Database|Data modeling,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Fullstack Developer,JavaScript|Algorithms|IDE|OOP|.NET|Programming,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,QA|SQL|.NET|Consulting|C#|PHP|jQuery,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
Mobile Developer,Android|OOP|Automotive,Acme Inc,Chicago,IL,"41.8781136,-87.6297982"
Embedded Engineer,Linux administration|JavaScript|OOP|Change management|C++|Security|Shell scripting|Python|Ethernet|Perl|UML|DOS|Programming|Agile,IT Services and Networking Corp.,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Security|Programming|Middleware|SOAP|Agile|Java,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
C# Developer,Microsoft Excel|QA|Microsoft Windows|C#,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,Modeling|Data modeling|Java|Database,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Salesforce Developer,Data modeling|Salesforce.com|Microsoft Excel|Consulting|HTTP|Database,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
Salesforce Developer,HTTP|Data modeling|Consulting|Informatica administration|SAP|Salesforce.com,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
iOS Developer,Mobile development|C++|Python|JavaScript|Java,Simon Hughes Llc,San Francisco,CA,"37.7749295,-122.4194155"
Software Engineering Intern,C#|Architecture|Internship|Automotive,SocialMedia.com,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,SOAP|Java|CSS|J2EE|JavaScript,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
Training Specialist,Metrics|Microsoft Excel|Sales,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
.Net Developer,Programming|Microsoft PowerPoint|Microsoft Excel|Microsoft SQL Server|VBA,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
Salesforce Developer,Modeling|Data modeling|Consulting|Informatica administration|Database|Salesforce.com,SocialMedia.com,San Francisco,CA,"37.7749295,-122.4194155"
Interface Developer,Microsoft SQL Server|Programming|HTTP|Systems architecture|SQL|Database design,Python code ninjas,Des Moines,IA,"41.6005448,-93.6091064"
Mobile Developer,Automotive|Java|OOP,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Data Warehouse Analyst,Microsoft SQL Server|Apache Hadoop|ERwin|Programming|Python|IBM Cognos|SQL|Linux,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Big Data,Java|Unix|NoSQL|Apache Hadoop,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
.Net Developer,jQuery|Agile|ASP|SQL|QA,Acme Inc,San Francisco,CA,"37.7749295,-122.4194155"
Salesforce Developer,SAP|Microsoft Excel|HTML|Database|Salesforce.com|Consulting,Python code ninjas,San Jose,CA,"37.3382082,-121.8863286"
Salesforce Developer,HTML|Consulting|Data modeling|Salesforce.com|Informatica administration|SAP,Simon Hughes Llc,New York,NY,"40.7127837,-74.0059413"
UX Designer,UX|Java|Graphics|Embedded systems|HTTP|Python|Programming|Software engineering|Research|Security,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
Big Data Developer,Software engineering|Apache Hadoop|Apache HTTP Server|Unix|Apache Solr|HTML|Algorithms|Bash|J2EE|MySQL|Verification and validation|Network|Perl|Java,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
COBOL Developer,AS/400 Control Language|COBOL|Operating systems|IBM mainframe,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
Salesforce Developer,Database|SAP|Salesforce.com|HTTP|Consulting|HTML,Python code ninjas,San Francisco,CA,"37.7749295,-122.4194155"
C++ Developer,Python|Networking|Programming,Acme Inc,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,UX|AngularJS|Unix|Oracle|MySQL|MySQL,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
Lead Developer,Architecture|ASP|Agile|ASP.NET|Software engineering|Ajax|CSS|jQuery,SocialMedia.com,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,Ajax|XSLT|SQL|Software engineering|Apache HTTP Server|Jenkins|HTTP|QA|J2EE,SocialMedia.com,San Jose,CA,"37.3382082,-121.8863286"
.Net Developer,Microsoft SQL Server|SQL|jQuery|ASP.NET|Agile,IT Services and Networking Corp.,New York,NY,"40.7127837,-74.0059413"
Java Developer,Java|Security|HTML|Software engineering|Application server|Agile,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Embedded Engineer,Programming|Software engineering|Lifecycle management|C++|HTTP,IT Services and Networking Corp.,San Francisco,CA,"37.7749295,-122.4194155"
Frontend Developer,Java|C++|UI|IBM Rational|Engineering,Big Data Services,Des Moines,IA,"41.6005448,-93.6091064"
Big Data Developer,SDLC|jQuery|Java|JavaScript|Modeling|Ruby|HTTP|Unix|CSS|Agile|Research|Verification and validation|SQL|Python,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Informatica Developer,HTTP|Consulting|Database|CMS|Agile,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,SDLC|J2EE|Apache HTTP Server|JavaScript|Java,Big Data Services,Chicago,IL,"41.8781136,-87.6297982"
Web Developer,JavaScript|Microsoft SQL Server|Web development|XML|jQuery|Ajax|Java|XSLT,IT Services and Networking Corp.,San Jose,CA,"37.3382082,-121.8863286"
TM1 Developer,IBM Cognos|Security|IBM,Big Tech Company,San Francisco,CA,"37.7749295,-122.4194155"
TM1 Developer,IBM Cognos|Security|IBM,Big Tech Company,New York,NY,"40.7127837,-74.0059413"
Java Developer,Programming|Security|Java,Big Tech Company,San Jose,CA,"37.3382082,-121.8863286"
PeopleSoft Developer,Security|QA|Configuration,Data Science Consultants,San Francisco,CA,"37.7749295,-122.4194155"
Informatica Developer,Consulting|Security|Database|Data warehouse,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Salesforce Developer,Salesforce.com|Programming|OOP|Microsoft Excel,Scientists and Quants Inc,Chicago,IL,"41.8781136,-87.6297982"
UX Designer,Video|Graphics|HTTP|Python|Java|Embedded systems|Embedded systems|Research|Network|HTML,Acme Inc,Des Moines,IA,"41.6005448,-93.6091064"
Web Developer,Agile|API|Web development|QA|Security|CSS,Big Tech Company,San Jose,CA,"37.3382082,-121.8863286"
Salesforce Developer,HTTP|Consulting|Salesforce.com|API|Data modeling|Sales,Big Tech Company,Chicago,IL,"41.8781136,-87.6297982"
Salesforce Developer,SAP|Salesforce.com|Database|Microsoft Excel|Consulting|Informatica administration,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Agile|HTML|Application server|HTTP|Programming|SOAP,SocialMedia.com,Chicago,IL,"41.8781136,-87.6297982"
Informatica Developer,Consulting|MicroStrategy|Informatica|Unix|Database|PL/SQL,Data Science Consultants,Chicago,IL,"41.8781136,-87.6297982"
Java Developer,Business requirements|Linux administration|Database design|Architecture|Oracle|JDBC,Large Search Giant Llc.,San Jose,CA,"37.3382082,-121.8863286"
UX Designer,Systems engineering|Research|Video|Hardware|Embedded systems|Networking|Wireless|Programming|JavaScript|Java,Data Science Consultants,Austin,TX,"30.267153,-97.7430608"
Java Developer,SDLC|J2EE|CSS|Content management|Java,Scientists and Quants Inc,Austin,TX,"30.267153,-97.7430608"
Salesforce Developer,Sales|Microsoft Excel|HTTP|API|Data modeling|Database,Data Science Consultants,Austin,TX,"30.267153,-97.7430608"
Training Specialist,Microsoft Office|Microsoft Excel|Metrics,Data Science Consultants,San Jose,CA,"37.3382082,-121.8863286"
Web Developer,HTML|CSS|JavaScript|Web development,Big Tech Company,Des Moines,IA,"41.6005448,-93.6091064"
Java Developer,HTML|HTTP|Security|Linux|Agile|J2EE|IDE|PL/SQL|Help desk|SQL|QA,Big Data Services,San Francisco,CA,"37.7749295,-122.4194155"
Web Developer,Security QA|QA|Agile|Java|HTML,Scientists and Quants Inc,New York,NY,"40.7127837,-74.0059413"
Frontend Developer,Ruby|Ajax|Content management|UX|JavaScript|Supervision|CSS|Consulting,Scientists and Quants Inc,San Francisco,CA,"37.7749295,-122.4194155"
Java Developer,Unix|Algorithms|Python|HTTP|Linux administration|Security|Scrum|Software engineering|Research,SocialMedia.com,New York,NY,"40.7127837,-74.0059413"
Lead Developer,Java|Microsoft Windows|Microsoft Office|Security,Roll the Dice Inc.,San Jose,CA,"37.3382082,-121.8863286"
Frontend Developer,Ruby|Ajax|Git|Python|Supervision|Content management|Web browsers|CSS,Simon Hughes Llc,Austin,TX,"30.267153,-97.7430608"
Java Developer,QA|SDLC|Database design,IT Services and Networking Corp.,New York,NY,"40.7127837,-74.0059413"
SQL Server Developer,Microsoft SQL Server|MySQL|Configuration|MySQL|DBA|Informatica administration,Big Data Services,Austin,TX,"30.267153,-97.7430608"
Web Developer,Security QA|CSS|JavaScript|Linux administration|QA,SocialMedia.com,Austin,TX,"30.267153,-97.7430608"
Lead Developer,CSS|Software engineering|SQL|Ajax|QA|ASP|Architecture|Sales|Microsoft SQL Server,Data Science Consultants,Austin,TX,"30.267153,-97.7430608"
Application Developer,Fusion|Linux|AngularJS|Apache ZooKeeper,Roll the Dice Inc.,Austin,TX,"30.267153,-97.7430608"
